Service: OnLightsLiving,  Device: 7 numMinTemp: 0

Service: OnLightsLiving,  Device: 8 numMinTemp: 0

Service: OnLightsHallway,  Device: 9 numMinTemp: 0

Service: OnLightsHallway,  Device: 10 numMinTemp: 0

Service: OnLightsCorridor,  Device: 11 numMinTemp: 0

Service: OnLightsBedroom1,  Device: 14 numMinTemp: 0

Service: OnLightsBedroom1,  Device: 15 numMinTemp: 0

Service: OnLightsBedroom2,  Device: 12 numMinTemp: 0

Service: OnLightsBedroom2,  Device: 13 numMinTemp: 0

Service: OnHomeOffice,  Device: 16 numMinTemp: 0

Service: OnHomeOffice,  Device: 17 numMinTemp: 0

Service: NighttimeArea,  Device: 11 numMinTemp: 0

Service: NighttimeArea,  Device: 12 numMinTemp: 0

Service: NighttimeArea,  Device: 13 numMinTemp: 0

Service: NighttimeArea,  Device: 14 numMinTemp: 0

Service: NighttimeArea,  Device: 15 numMinTemp: 0

Service: InsertAlarm,  Device: 23 numMinTemp: 0

Service: InsertAlarm,  Device: 24 numMinTemp: 0

Service: InsertAlarm,  Device: 25 numMinTemp: 0

Service: InsertAlarm,  Device: 26 numMinTemp: 0

Service: InsertAlarm,  Device: 27 numMinTemp: 0

Service: OnAllLights,  Device: 1 numMaxTemp: 0

Service: OnAllLights,  Device: 2 numMaxTemp: 0

Service: OnAllLights,  Device: 3 numMaxTemp: 0

Service: OnAllLights,  Device: 4 numMaxTemp: 0

Service: OnAllLights,  Device: 5 numMaxTemp: 0

Service: OnAllLights,  Device: 6 numMaxTemp: 0

Service: OnAllLights,  Device: 7 numMaxTemp: 0

Service: OnAllLights,  Device: 8 numMaxTemp: 0

Service: OnAllLights,  Device: 9 numMaxTemp: 0

Service: OnAllLights,  Device: 10 numMaxTemp: 0

Service: OnAllLights,  Device: 11 numMaxTemp: 0

Service: OnAllLights,  Device: 12 numMaxTemp: 0

Service: OnAllLights,  Device: 13 numMaxTemp: 0

Service: OnAllLights,  Device: 14 numMaxTemp: 0

Service: OnAllLights,  Device: 15 numMaxTemp: 0

Service: OnAllLights,  Device: 16 numMaxTemp: 0

Service: OnAllLights,  Device: 17 numMaxTemp: 0

Service: OnLightsBathroom,  Device: 1 numMaxTemp: 0

Service: OnLightsBathroom,  Device: 3 numMaxTemp: 0

Service: OnLightsKitchen,  Device: 2 numMaxTemp: 0

Service: OnLightsKitchen,  Device: 4 numMaxTemp: 0

Service: OnLightsLiving,  Device: 5 numMaxTemp: 0

Service: OnLightsLiving,  Device: 6 numMaxTemp: 0

Service: OnLightsLiving,  Device: 7 numMaxTemp: 0

Service: OnLightsLiving,  Device: 8 numMaxTemp: 0

Service: OnLightsHallway,  Device: 9 numMaxTemp: 0

Service: OnLightsHallway,  Device: 10 numMaxTemp: 0

Service: OnLightsCorridor,  Device: 11 numMaxTemp: 0

Service: OnLightsBedroom1,  Device: 14 numMaxTemp: 0

Service: OnLightsBedroom1,  Device: 15 numMaxTemp: 0

Service: OnLightsBedroom2,  Device: 12 numMaxTemp: 0

Service: OnLightsBedroom2,  Device: 13 numMaxTemp: 0

Service: OnHomeOffice,  Device: 16 numMaxTemp: 0

Service: OnHomeOffice,  Device: 17 numMaxTemp: 0

Service: NighttimeArea,  Device: 11 numMaxTemp: 0

Service: NighttimeArea,  Device: 12 numMaxTemp: 0

Service: NighttimeArea,  Device: 13 numMaxTemp: 0

Service: NighttimeArea,  Device: 14 numMaxTemp: 0

Service: NighttimeArea,  Device: 15 numMaxTemp: 0

Service: InsertAlarm,  Device: 23 numMaxTemp: 0

Service: InsertAlarm,  Device: 24 numMaxTemp: 0

Service: InsertAlarm,  Device: 25 numMaxTemp: 0

Service: InsertAlarm,  Device: 26 numMaxTemp: 0

Service: InsertAlarm,  Device: 27 numMaxTemp: 0

